family,n_unknowns,n_pairs,mean,var,mad05,range
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.0703125,0.0,0.4296875,0.0
Z,2,1,0.953125,0.0,0.453125,0.0
Z,2,1,0.0390625,0.0,0.4609375,0.0
Z,2,1,0.046875,0.0,0.453125,0.0
Z,2,1,0.03125,0.0,0.46875,0.0
Z,2,1,0.953125,0.0,0.453125,0.0
Z,2,1,0.9453125,0.0,0.4453125,0.0
Z,2,1,0.9453125,0.0,0.4453125,0.0
Z,2,1,0.015625,0.0,0.484375,0.0
Z,2,1,0.0234375,0.0,0.4765625,0.0
Z,2,1,0.921875,0.0,0.421875,0.0
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.9375,0.0,0.4375,0.0
Z,2,1,0.0703125,0.0,0.4296875,0.0
Z,2,1,0.984375,0.0,0.484375,0.0
Z,2,1,0.9453125,0.0,0.4453125,0.0
Z,2,1,0.0,0.0,0.5,0.0
Z,2,1,0.0546875,0.0,0.4453125,0.0
Z,2,1,0.0703125,0.0,0.4296875,0.0
Z,2,1,0.9765625,0.0,0.4765625,0.0
Z,2,1,0.0,0.0,0.5,0.0
Z,2,1,0.9453125,0.0,0.4453125,0.0
Z,2,1,0.0390625,0.0,0.4609375,0.0
Z,2,1,0.9765625,0.0,0.4765625,0.0
Z,2,1,0.9375,0.0,0.4375,0.0
Z,2,1,0.015625,0.0,0.484375,0.0
Z,2,1,0.9609375,0.0,0.4609375,0.0
Z,2,1,0.0546875,0.0,0.4453125,0.0
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.9609375,0.0,0.4609375,0.0
Z,2,1,0.9609375,0.0,0.4609375,0.0
Z,2,1,0.0,0.0,0.5,0.0
Z,2,1,0.0390625,0.0,0.4609375,0.0
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.953125,0.0,0.453125,0.0
Z,2,1,0.9375,0.0,0.4375,0.0
Z,2,1,0.03125,0.0,0.46875,0.0
Z,2,1,0.9609375,0.0,0.4609375,0.0
Z,2,1,0.9375,0.0,0.4375,0.0
Z,2,1,0.9765625,0.0,0.4765625,0.0
Z,2,1,0.0,0.0,0.5,0.0
Z,2,1,0.96875,0.0,0.46875,0.0
Z,2,1,0.953125,0.0,0.453125,0.0
Z,2,1,0.9375,0.0,0.4375,0.0
Z,2,1,0.9453125,0.0,0.4453125,0.0
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.046875,0.0,0.453125,0.0
Z,2,1,0.0,0.0,0.5,0.0
Z,2,1,0.9609375,0.0,0.4609375,0.0
Z,2,1,0.0078125,0.0,0.4921875,0.0
Z,2,1,0.046875,0.0,0.453125,0.0
Z,2,1,0.9140625,0.0,0.4140625,0.0
Z,2,1,0.9609375,0.0,0.4609375,0.0
Z,2,1,0.953125,0.0,0.453125,0.0
Z,2,1,0.0,0.0,0.5,0.0
